geo_point_2d,fenomeno,taxonomia,intensidad,alcaldia,int2
"19.4840766322,-99.0979827502",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.3809650541,-99.1373113251",Hidrometeorológicos,Inundaciones,Muy Alto,Benito Juárez,5.0
"19.3139677776,-99.1267177657",Geológicos,Sísmico,Muy Alto,Coyoacán,5.0
"19.3905750675,-99.144452701",Hidrometeorológicos,Inundaciones,Muy Alto,Benito Juárez,5.0
"19.4805160579,-99.2019284401",Geológicos,Sísmico,Alto,Azcapotzalco,4.0
"19.3774270257,-99.0402298177",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3253349527,-99.0596817559",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3316692341,-99.0636281599",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.361365307,-99.0376967811",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.2208697869,-98.9702836558",Hidrometeorológicos,Inundaciones,Alto,Tláhuac,4.0
"19.3478519951,-99.1349664665",Geológicos,Sísmico,Muy Alto,Coyoacán,5.0
"19.2569441391,-99.052578288",Geológicos,Sísmico,Alto,Xochimilco,4.0
"19.2605611682,-99.0337241161",Geológicos,Sísmico,Muy Alto,Xochimilco,5.0
"19.3342670441,-99.0840288506",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.2948004811,-99.0380209762",Hidrometeorológicos,Inundaciones,Muy Alto,Tláhuac,5.0
"19.3474991084,-99.0043421422",Socio Organizativo,N/D,Muy Alto,Iztapalapa,5.0
"19.3136231859,-99.0755628125",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3457610108,-99.0347656931",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.2969909092,-99.1042985486",Geológicos,Sísmico,Muy Alto,Tlalpan,5.0
"19.3253349527,-99.0596817559",Socio Organizativo,N/D,Alto,Iztapalapa,4.0
"19.3887876804,-99.0697048471",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.3693513688,-99.1336521064",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.2584622354,-99.1206817076",Hidrometeorológicos,Inundaciones,Muy Alto,Xochimilco,5.0
"19.2790650226,-99.0064241974",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.297191845,-99.1126351984",Geológicos,Sísmico,Muy Alto,Tlalpan,5.0
"19.5011572675,-99.0984317478",Geológicos,Sísmico,Alto,Gustavo A. Madero,4.0
"19.4646076164,-99.1257605004",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4574378388,-99.0864179933",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4654545263,-99.1802510375",Geológicos,Sísmico,Alto,Azcapotzalco,4.0
"19.242566309,-99.1676853074",Socio Organizativo,N/D,Alto,Tlalpan,4.0
"19.3419029316,-99.1751086769",Geológicos,Sísmico,Alto,Coyoacán,4.0
"19.2940477397,-99.2224394405",Socio Organizativo,N/D,Alto,Tlalpan,4.0
"19.4540838018,-99.0978630178",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.3525318258,-99.1328918783",Geológicos,Sísmico,Muy Alto,Coyoacán,5.0
"19.4967162435,-99.0868014417",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.3402417727,-99.1159654523",Geológicos,Sísmico,Alto,Coyoacán,4.0
"19.3174458429,-99.1050589025",Geológicos,Sísmico,Muy Alto,Coyoacán,5.0
"19.4637066226,-99.1693320484",Geológicos,Sísmico,Alto,Azcapotzalco,4.0
"19.4662356326,-99.1053410946",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.316975329,-99.1340846363",Geológicos,Sísmico,Alto,Coyoacán,4.0
"19.3621973948,-99.0944014167",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.4741781567,-99.13244313",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.401021698,-99.1101603403",Hidrometeorológicos,Inundaciones,Muy Alto,Iztacalco,5.0
"19.3636283919,-99.0278178367",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3459138349,-99.0530517273",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.3729802311,-99.0505472994",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.3464535356,-99.1543127464",Geológicos,Sísmico,Alto,Coyoacán,4.0
"19.489789615,-99.1915793713",Geológicos,Sísmico,Alto,Azcapotzalco,4.0
"19.3282637633,-99.1406936597",Geológicos,Sísmico,Alto,Coyoacán,4.0
"19.38502311,-99.0895863494",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.5024094573,-99.1522727691",Geológicos,Sísmico,Alto,Gustavo A. Madero,4.0
"19.3525717819,-99.2192542843",Socio Organizativo,N/D,Alto,Álvaro Obregón,4.0
"19.3514001288,-99.1403792813",Geológicos,Sísmico,Alto,Coyoacán,4.0
"19.3598689489,-99.044624797",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3401530809,-99.0419850561",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.4463709647,-99.1076994584",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4323021387,-99.1794328639",Geológicos,Sísmico,Alto,Miguel Hidalgo,4.0
"19.4551826533,-99.192600848",Geológicos,Sísmico,Alto,Miguel Hidalgo,4.0
"19.442911096,-99.097947967",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.453247327,-99.1447085387",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4022649405,-99.104119565",Hidrometeorológicos,Inundaciones,Muy Alto,Iztacalco,5.0
"19.4504708148,-99.1743946019",Geológicos,Sísmico,Alto,Miguel Hidalgo,4.0
"19.437076243,-99.1594107847",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4482523859,-99.1288899304",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.3631180425,-99.1713671748",Geológicos,Sísmico,Alto,Benito Juárez,4.0
"19.4535429421,-99.1463521835",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4448433091,-99.1329370181",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4279496409,-99.1213689178",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.492395301,-99.1982302281",Geológicos,Sísmico,Alto,Azcapotzalco,4.0
"19.3739912594,-99.1594793336",Geológicos,Sísmico,Alto,Benito Juárez,4.0
"19.4529809324,-99.1346496714",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.5015690905,-99.1393816834",Geológicos,Sísmico,Alto,Gustavo A. Madero,4.0
"19.3988046422,-99.1276927537",Hidrometeorológicos,Inundaciones,Muy Alto,Iztacalco,5.0
"19.4330384459,-99.1652237369",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4046622859,-99.0806626712",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.4832953384,-99.0912829252",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4734026245,-99.125759476",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4730892083,-99.1421035292",Geológicos,Sísmico,Alto,Gustavo A. Madero,4.0
"19.4212472697,-99.1022297677",Hidrometeorológicos,Inundaciones,Muy Alto,Venustiano Carranza,5.0
"19.3827445388,-99.1250370816",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.4883561033,-99.0802663136",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4365160236,-99.1125305495",Hidrometeorológicos,Inundaciones,Muy Alto,Venustiano Carranza,5.0
"19.5192607895,-99.1467097579",Geológicos,Sísmico,Alto,Gustavo A. Madero,4.0
"19.3840715196,-99.1323845319",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.3954860145,-99.1041299815",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.4097484493,-99.1314193598",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4057519237,-99.1740683274",Geológicos,Sísmico,Alto,Cuauhtémoc,4.0
"19.4558742167,-99.1991068427",Geológicos,Sísmico,Alto,Miguel Hidalgo,4.0
"19.4397468868,-99.1169825718",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4423786363,-99.1090647105",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.425440071,-99.1244972421",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4353442187,-99.1462921298",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4220349341,-99.0635654732",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4572667205,-99.1520329073",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4152242569,-99.0953911808",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.416155364,-99.1066905252",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4762932637,-99.1601582025",Hidrometeorológicos,Inundaciones,Muy Alto,Azcapotzalco,5.0
"19.4365160236,-99.1125305495",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4209837373,-99.1521402898",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4309806588,-99.181203386",Hidrometeorológicos,Inundaciones,Alto,Miguel Hidalgo,4.0
"19.4391925901,-99.1223510089",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4500099727,-99.0949494921",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4481550898,-99.0908953216",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4233504091,-99.1131214957",Hidrometeorológicos,Inundaciones,Muy Alto,Venustiano Carranza,5.0
"19.4582168764,-99.130623293",Hidrometeorológicos,Inundaciones,Muy Alto,Cuauhtémoc,5.0
"19.3069231097,-99.1523951302",Socio Organizativo,N/D,Alto,CoyoacÃ¡n,4.0
"19.4560081269,-99.1483064033",Hidrometeorológicos,Inundaciones,Muy Alto,Cuauhtémoc,5.0
"19.2692780609,-99.1136596976",Geológicos,Sísmico,Muy Alto,Xochimilco,5.0
"19.391098048,-99.1550370736",Geológicos,Sísmico,Muy Alto,Benito Juárez,5.0
"19.386652738,-99.1841544989",Geológicos,Sísmico,Alto,Benito Juárez,4.0
"19.4498476931,-99.1212947747",Hidrometeorológicos,Inundaciones,Muy Alto,Venustiano Carranza,5.0
"19.3980046949,-99.167695161",Geológicos,Sísmico,Muy Alto,Benito Juárez,5.0
"19.4535429421,-99.1463521835",Hidrometeorológicos,Inundaciones,Muy Alto,Cuauhtémoc,5.0
"19.2644969284,-99.101076724",Geológicos,Sísmico,Muy Alto,Xochimilco,5.0
"19.2770137603,-99.1241965835",Geológicos,Sísmico,Muy Alto,Xochimilco,5.0
"19.2621911575,-99.1109400086",Geológicos,Sísmico,Muy Alto,Xochimilco,5.0
"19.3469441207,-99.0404755002",Socio Organizativo,N/D,Alto,Iztapalapa,4.0
"19.407164842,-99.0584363867",Hidrometeorológicos,Inundaciones,Muy Alto,Iztacalco,5.0
"19.2581015893,-99.0721916063",Geológicos,Sísmico,Alto,Xochimilco,4.0
"19.4959100858,-99.152510601",Hidrometeorológicos,Inundaciones,Muy Alto,Gustavo A. Madero,5.0
"19.2990461165,-99.1329720872",Geológicos,Sísmico,Muy Alto,Tlalpan,5.0
"19.4534907837,-99.1048034715",Hidrometeorológicos,Inundaciones,Muy Alto,Gustavo A. Madero,5.0
"19.4907947327,-99.1073148934",Hidrometeorológicos,Inundaciones,Alto,Gustavo A. Madero,4.0
"19.493378879,-99.0963277012",Hidrometeorológicos,Inundaciones,Muy Alto,Gustavo A. Madero,5.0
"19.2843488973,-99.1331717388",Geológicos,Sísmico,Muy Alto,Tlalpan,5.0
"19.2844041375,-99.0091059239",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.2752671369,-99.0360592332",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.370711475,-99.0277756952",Socio Organizativo,N/D,Alto,Iztapalapa,4.0
"19.2782865605,-98.993918721",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.297929235,-99.1107486512",Hidrometeorológicos,Inundaciones,Muy Alto,Tlalpan,5.0
"19.3146127249,-98.9679396149",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.3693513688,-99.1336521064",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.3004292753,-99.0812345014",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.4916729903,-99.0783592578",Hidrometeorológicos,Inundaciones,Muy Alto,Gustavo A. Madero,5.0
"19.4596472241,-99.1086679087",Hidrometeorológicos,Inundaciones,Muy Alto,Gustavo A. Madero,5.0
"19.290202584,-99.0532306325",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.4905649733,-99.1310786334",Hidrometeorológicos,Inundaciones,Muy Alto,Gustavo A. Madero,5.0
"19.4520649698,-99.1689104312",Geológicos,Sísmico,Alto,Miguel Hidalgo,4.0
"19.4170603968,-99.1772738506",Geológicos,Sísmico,Alto,Cuauhtémoc,4.0
"19.4536355933,-99.0640881929",Hidrometeorológicos,Inundaciones,Muy Alto,Gustavo A. Madero,5.0
"19.4622236382,-99.1461083521",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.3602361001,-99.1681120149",Geológicos,Sísmico,Alto,Benito Juárez,4.0
"19.4184184485,-99.1286391638",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4611685288,-99.1295593797",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4000134787,-99.115027114",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.5123472858,-99.1278375968",Geológicos,Sísmico,Alto,Gustavo A. Madero,4.0
"19.4941126614,-99.0703336805",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4712026524,-99.0974091489",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4902911037,-99.1245645325",Hidrometeorológicos,Inundaciones,Muy Alto,Gustavo A. Madero,5.0
"19.4756276503,-99.0749941178",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4869733982,-99.1279692604",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4832735556,-99.1352894423",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.3977487381,-99.0916867297",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.4158694987,-99.0684849766",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.504700532,-99.132003566",Geológicos,Sísmico,Alto,Gustavo A. Madero,4.0
"19.4713632997,-99.0835371626",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4329311829,-99.1318259614",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.465458542,-99.1221938875",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4087417297,-99.173982888",Geológicos,Sísmico,Alto,Cuauhtémoc,4.0
"19.4101228598,-99.1189220115",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4525560103,-99.182276874",Geológicos,Sísmico,Alto,Miguel Hidalgo,4.0
"19.4228044503,-99.1046561405",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4526538881,-99.1405133259",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.3646296793,-99.0088400548",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.326657979,-99.0996014872",Hidrometeorológicos,Inundaciones,Alto,Iztapalapa,4.0
"19.4125241185,-99.1107963297",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4097734962,-99.1060895313",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4155248816,-99.1183540045",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.42708686,-99.066028476",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4423329884,-99.0898591667",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.3750719015,-99.0569685015",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.3289489362,-99.0420223092",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.3534321744,-99.1138910525",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.2904557763,-99.1446325901",Hidrometeorológicos,Inundaciones,Muy Alto,Tlalpan,5.0
"19.3354884841,-99.0696276422",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.3405068835,-99.0503516331",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.3790326349,-99.1204510073",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.4329311829,-99.1318259614",Socio Organizativo,N/D,Alto,Cuauhtémoc,4.0
"19.3631630509,-99.127029066",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3339648498,-99.0611883761",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.2906202767,-99.1565765934",Hidrometeorológicos,Inundaciones,Muy Alto,Tlalpan,5.0
"19.3784260662,-99.0988264298",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3824491194,-99.0519078311",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3459248034,-99.0590646906",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3932068283,-99.101744533",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.3754920623,-99.0071776398",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3841922979,-99.0854234897",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3929237547,-99.0635932445",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.3729823402,-99.0550439581",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3788545332,-99.1045343623",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.3916154282,-99.0964548089",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.3534321744,-99.1138910525",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.2844041375,-99.0091059239",Hidrometeorológicos,Inundaciones,Muy Alto,Tláhuac,5.0
"19.3355326622,-99.0733839259",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3459138349,-99.0530517273",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3937017385,-99.0465685269",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3266730812,-99.1183176312",Geológicos,Sísmico,Muy Alto,Coyoacán,5.0
"19.5042449272,-99.197668288",Geológicos,Sísmico,Alto,Azcapotzalco,4.0
"19.4718904484,-99.0896544859",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4708104669,-99.0872199117",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4739967564,-99.0907041202",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.3586707712,-99.0701804457",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.2544657488,-99.0722615538",Hidrometeorológicos,Inundaciones,Alto,Xochimilco,4.0
"19.3832538664,-99.1545055516",Hidrometeorológicos,Inundaciones,Muy Alto,Benito Juárez,5.0
"19.3137700457,-99.1040540029",Geológicos,Sísmico,Muy Alto,Coyoacán,5.0
"19.3293320901,-99.0372425492",Hidrometeorológicos,Inundaciones,Alto,Iztapalapa,4.0
"19.3503265442,-99.0582810032",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3704625469,-99.0328806982",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.1737016078,-99.0331924269",Socio Organizativo,N/D,Muy Alto,Milpa Alta,5.0
"19.3678139995,-99.0341133668",Socio Organizativo,N/D,Alto,Iztapalapa,4.0
"19.1755912288,-99.0038613646",Socio Organizativo,N/D,Muy Alto,Milpa Alta,5.0
"19.3656415178,-99.0800980808",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3607111994,-99.1200325665",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3752801515,-99.1103480882",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.4905155277,-99.1430633471",Geológicos,Sísmico,Alto,Gustavo A. Madero,4.0
"19.3648809391,-99.100315825",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.5097422086,-99.2029703405",Hidrometeorológicos,Inundaciones,Muy Alto,Azcapotzalco,5.0
"19.4337769864,-99.0985059482",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.429788687,-99.1064546561",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4258780642,-99.0697263639",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4217319567,-99.0932289311",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4306263333,-99.1580504925",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4344244316,-99.1534746325",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.437076243,-99.1594107847",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4545688987,-99.1272590904",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4471251806,-99.1098930728",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4512582765,-99.1371477194",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.503318117,-99.1749040863",Hidrometeorológicos,Inundaciones,Alto,Azcapotzalco,4.0
"19.3664047539,-99.1587021187",Geológicos,Sísmico,Alto,Benito Juárez,4.0
"19.3691171056,-99.1643213672",Geológicos,Sísmico,Alto,Benito Juárez,4.0
"19.3731589055,-99.1784282973",Geológicos,Sísmico,Alto,Benito Juárez,4.0
"19.4344244316,-99.1534746325",Hidrometeorológicos,Inundaciones,Muy Alto,Cuauhtémoc,5.0
"19.4504708148,-99.1743946019",Hidrometeorológicos,Inundaciones,Muy Alto,Miguel Hidalgo,5.0
"19.4692695026,-99.1977386282",Hidrometeorológicos,Inundaciones,Muy Alto,Miguel Hidalgo,5.0
"19.3650802471,-98.9936009687",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.353040062,-99.0379175819",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3740910442,-99.1653563357",Hidrometeorológicos,Inundaciones,Muy Alto,Benito Juárez,5.0
"19.418665506,-99.1028285885",Hidrometeorológicos,Inundaciones,Muy Alto,Venustiano Carranza,5.0
"19.4529809324,-99.1346496714",Hidrometeorológicos,Inundaciones,Muy Alto,Cuauhtémoc,5.0
"19.3367902336,-99.0486962097",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.3806747522,-99.1721936882",Geológicos,Sísmico,Alto,Benito Juárez,4.0
"19.3943375177,-99.1644827956",Geológicos,Sísmico,Muy Alto,Benito Juárez,5.0
"19.2254938616,-98.9559498181",Geológicos,Sísmico,Alto,Tláhuac,4.0
"19.2885797183,-99.007694723",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.3341414822,-99.1624704181",Hidrometeorológicos,Inundaciones,Alto,Coyoacán,4.0
"19.3199240989,-99.1099491221",Hidrometeorológicos,Inundaciones,Muy Alto,Coyoacán,5.0
"19.3036826034,-99.1156907928",Hidrometeorológicos,Inundaciones,Muy Alto,Coyoacán,5.0
"19.2905395677,-99.1236396766",Geológicos,Sísmico,Muy Alto,Tlalpan,5.0
"19.2628920187,-99.1056937173",Geológicos,Sísmico,Muy Alto,Xochimilco,5.0
"19.2644969284,-99.101076724",Geológicos,Sísmico,Muy Alto,Xochimilco,5.0
"19.2786402552,-98.99873753",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.3895133168,-99.1201433916",Hidrometeorológicos,Inundaciones,Muy Alto,Iztacalco,5.0
"19.4711318407,-99.0752243308",Socio Organizativo,N/D,Alto,Gustavo A. Madero,4.0
"19.3545103105,-99.1246462893",Hidrometeorológicos,Inundaciones,Muy Alto,Coyoacán,5.0
"19.3833803209,-99.1125112773",Hidrometeorológicos,Inundaciones,Muy Alto,Iztacalco,5.0
"19.2803068959,-99.044693749",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.5061174974,-99.1337907529",Hidrometeorológicos,Inundaciones,Muy Alto,Gustavo A. Madero,5.0
"19.3286504544,-99.0848408645",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3151704584,-99.1167052283",Hidrometeorológicos,Inundaciones,Muy Alto,Coyoacán,5.0
"19.3088245196,-99.1136547945",Hidrometeorológicos,Inundaciones,Muy Alto,Coyoacán,5.0
"19.5279442108,-99.1516653293",Hidrometeorológicos,Inundaciones,Muy Alto,Gustavo A. Madero,5.0
"19.3756250638,-99.138122768",Geológicos,Sísmico,Muy Alto,Benito Juárez,5.0
"19.3968511136,-99.1324927771",Geológicos,Sísmico,Muy Alto,Benito Juárez,5.0
"19.3916022026,-99.1725252058",Geológicos,Sísmico,Alto,Benito Juárez,4.0
"19.3716755473,-99.1390598313",Geológicos,Sísmico,Alto,Benito Juárez,4.0
"19.5039967728,-99.1302890795",Hidrometeorológicos,Inundaciones,Muy Alto,Gustavo A. Madero,5.0
"19.3854337568,-99.0547669865",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3761871742,-99.0523947395",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3776210993,-99.0296737177",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3480562173,-99.130008955",Hidrometeorológicos,Inundaciones,Muy Alto,Coyoacán,5.0
"19.3476570187,-99.1601476954",Hidrometeorológicos,Inundaciones,Muy Alto,Coyoacán,5.0
"19.3750719015,-99.0569685015",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.4082883391,-99.1800488904",Hidrometeorológicos,Inundaciones,Muy Alto,Cuauhtémoc,5.0
"19.3593044586,-99.0979721616",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.2909360429,-99.0648829416",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.320466,-99.0945128275",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.4395034587,-99.1971974347",Hidrometeorológicos,Inundaciones,Alto,Miguel Hidalgo,4.0
"19.3057503806,-99.0830058902",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.5483057816,-99.154888965",Socio Organizativo,N/D,Alto,Gustavo A. Madero,4.0
"19.3875810743,-99.1169018865",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.3900159388,-99.1116613504",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.3791998157,-99.1297920871",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.379898931,-99.0197723499",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3307884004,-99.0680271467",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3475440253,-99.0746157238",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3265067226,-99.0628437002",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.4166390494,-99.1116032098",Hidrometeorológicos,Inundaciones,Muy Alto,Venustiano Carranza,5.0
"19.2540154821,-99.0819021436",Socio Organizativo,N/D,Muy Alto,Xochimilco,5.0
